"('М', 1.0)","('Т', 0.994)","('Х', 0.984)","('Ү', 0.973)","('Й', 0.97)","('Ф', 0.961)","('Л', 0.958)","('І', 0.946)","('Қ', 0.944)","('И', 0.935)","('В', 0.927)","('Ұ', 0.926)","('Д', 0.917)","('Ә', 0.913)","('К', 0.908)","('Ё', 0.905)","('З', 0.903)","('Б', 0.892)","('Е', 0.892)","('У', 0.891)","('Ж', 0.886)","('Ч', 0.886)","('Р', 0.884)","('Ю', 0.882)","('Ы', 0.868)","('Ғ', 0.866)","('Э', 0.865)","('А', 0.863)","('С', 0.852)","('Ш', 0.836)","('Ө', 0.831)","('Г', 0.813)","('Һ', 0.805)","('Ъ', 0.804)","('П', 0.772)","('О', 0.752)","('Ц', 0.75)","('Щ', 0.741)","('Н', 0.721)","('Ь', 0.681)","('Я', 0.652)","('Ң', 0.572)"
"('Д', 1.0)","('О', 0.93)","('Ц', 0.922)","('З', 0.914)","('Н', 0.893)","('А', 0.87)","('Л', 0.839)","('Ө', 0.784)","('П', 0.774)","('Щ', 0.772)","('Ч', 0.763)","('Ң', 0.76)","('Ә', 0.744)","('Я', 0.742)","('Ұ', 0.74)","('Ү', 0.729)","('Р', 0.727)","('Т', 0.704)","('Й', 0.696)","('Х', 0.694)","('Е', 0.684)","('Ф', 0.684)","('Ё', 0.683)","('Ж', 0.668)","('С', 0.667)","('М', 0.663)","('Э', 0.657)","('Ы', 0.64)","('Б', 0.635)","('К', 0.634)","('Қ', 0.625)","('І', 0.62)","('И', 0.61)","('Ш', 0.605)","('В', 0.604)","('Ъ', 0.602)","('Һ', 0.601)","('У', 0.6)","('Ю', 0.594)","('Ғ', 0.568)","('Г', 0.56)","('Ь', 0.497)"
"('А', 1.0)","('Ұ', 0.998)","('Т', 0.992)","('О', 0.991)","('Д', 0.99)","('Ч', 0.989)","('Н', 0.985)","('Ү', 0.973)","('Ң', 0.95)","('Ц', 0.947)","('Щ', 0.923)","('С', 0.921)","('Р', 0.908)","('Е', 0.904)","('Х', 0.897)","('Ө', 0.885)","('П', 0.883)","('Л', 0.868)","('Я', 0.864)","('Қ', 0.861)","('Ё', 0.859)","('Ә', 0.829)","('У', 0.813)","('Ъ', 0.81)","('Б', 0.805)","('Э', 0.804)","('Ф', 0.798)","('Й', 0.796)","('К', 0.796)","('І', 0.795)","('Һ', 0.789)","('Ж', 0.786)","('М', 0.782)","('Ы', 0.766)","('Г', 0.755)","('Ғ', 0.749)","('В', 0.731)","('Ш', 0.728)","('Ю', 0.727)","('И', 0.723)","('З', 0.69)","('Ь', 0.655)"
"('Н', 1.0)","('О', 0.988)","('Ү', 0.984)","('Щ', 0.978)","('Ұ', 0.966)","('Ц', 0.957)","('Т', 0.955)","('Р', 0.954)","('Ч', 0.934)","('Я', 0.915)","('П', 0.868)","('Ө', 0.831)","('Л', 0.823)","('Д', 0.802)","('Қ', 0.794)","('З', 0.775)","('Х', 0.775)","('Ң', 0.774)","('У', 0.766)","('Е', 0.753)","('І', 0.751)","('С', 0.739)","('Ё', 0.732)","('Ғ', 0.706)","('М', 0.7)","('К', 0.695)","('Б', 0.691)","('Й', 0.688)","('Ф', 0.688)","('Г', 0.677)","('А', 0.674)","('Ә', 0.663)","('В', 0.654)","('Ж', 0.649)","('И', 0.649)","('Ю', 0.646)","('Ъ', 0.645)","('Ы', 0.643)","('Э', 0.641)","('Һ', 0.64)","('Ш', 0.606)","('Ь', 0.53)"
"('Д', 1.0)","('А', 0.815)","('Л', 0.746)","('З', 0.744)","('Ц', 0.717)","('Э', 0.688)","('О', 0.686)","('Ә', 0.68)","('Н', 0.673)","('Ч', 0.648)","('Ө', 0.634)","('Я', 0.632)","('П', 0.628)","('Ң', 0.623)","('Щ', 0.597)","('Й', 0.578)","('Ф', 0.569)","('М', 0.554)","('Х', 0.553)","('Ж', 0.552)","('Ұ', 0.538)","('Ш', 0.523)","('Р', 0.519)","('И', 0.517)","('Ү', 0.513)","('В', 0.507)","('Ы', 0.505)","('Т', 0.494)","('К', 0.485)","('Б', 0.484)","('Ё', 0.483)","('Қ', 0.481)","('Е', 0.477)","('Ъ', 0.466)","('Ю', 0.466)","('С', 0.462)","('І', 0.458)","('Һ', 0.456)","('У', 0.437)","('Ғ', 0.422)","('Г', 0.412)","('Ь', 0.392)"
"('А', 1.0)","('О', 0.997)","('Ч', 0.992)","('Ұ', 0.988)","('Т', 0.987)","('Д', 0.985)","('Ү', 0.983)","('Н', 0.975)","('Ц', 0.958)","('Ң', 0.946)","('Щ', 0.916)","('С', 0.915)","('Р', 0.903)","('Е', 0.897)","('Х', 0.893)","('Ө', 0.879)","('П', 0.878)","('Л', 0.875)","('Я', 0.861)","('Қ', 0.858)","('Ё', 0.854)","('Ә', 0.829)","('У', 0.812)","('Ъ', 0.809)","('Э', 0.809)","('Б', 0.802)","('Ф', 0.796)","('Й', 0.794)","('К', 0.793)","('І', 0.792)","('Һ', 0.787)","('Ж', 0.785)","('М', 0.78)","('Ы', 0.764)","('Г', 0.755)","('Ғ', 0.748)","('В', 0.73)","('Ш', 0.729)","('Ю', 0.725)","('И', 0.723)","('З', 0.677)","('Ь', 0.656)"
"('А', 1.0)","('Б', 0.998)","('К', 0.994)","('Һ', 0.973)","('Я', 0.972)","('Х', 0.969)","('Ъ', 0.96)","('Ө', 0.948)","('Й', 0.943)","('П', 0.943)","('Қ', 0.939)","('Ф', 0.937)","('Ғ', 0.931)","('Ә', 0.929)","('Д', 0.928)","('М', 0.928)","('Ы', 0.928)","('Ч', 0.918)","('Ж', 0.917)","('Ю', 0.912)","('І', 0.909)","('Г', 0.905)","('Ң', 0.884)","('Щ', 0.879)","('Л', 0.876)","('В', 0.869)","('И', 0.867)","('Э', 0.856)","('З', 0.854)","('Ш', 0.839)","('Н', 0.836)","('Ц', 0.829)","('Ё', 0.825)","('О', 0.822)","('У', 0.811)","('Ь', 0.793)","('Ұ', 0.771)","('Р', 0.741)","('Е', 0.737)","('С', 0.666)","('Ү', 0.644)","('Т', 0.58)"
"('С', 1.0)","('Щ', 0.993)","('Ё', 0.986)","('Х', 0.982)","('Ъ', 0.972)","('Т', 0.958)","('К', 0.957)","('У', 0.924)","('Б', 0.923)","('Һ', 0.921)","('О', 0.912)","('Н', 0.911)","('І', 0.904)","('Ц', 0.901)","('Е', 0.888)","('П', 0.864)","('Ө', 0.856)","('Ң', 0.852)","('Р', 0.845)","('Ү', 0.833)","('Ғ', 0.829)","('Ч', 0.828)","('Г', 0.819)","('Я', 0.813)","('Ю', 0.807)","('Қ', 0.806)","('Ы', 0.792)","('М', 0.779)","('Ф', 0.778)","('Ұ', 0.771)","('Ь', 0.771)","('Ж', 0.757)","('Л', 0.752)","('В', 0.745)","('Й', 0.745)","('Д', 0.74)","('З', 0.715)","('А', 0.709)","('Ш', 0.685)","('Ә', 0.683)","('И', 0.683)","('Э', 0.62)"
"('Ь', 1.0)","('С', 0.999)","('У', 0.989)","('Ғ', 0.983)","('Г', 0.977)","('Е', 0.969)","('Т', 0.948)","('Һ', 0.947)","('Ё', 0.942)","('Ъ', 0.934)","('І', 0.929)","('Ү', 0.927)","('Қ', 0.905)","('Б', 0.892)","('Р', 0.886)","('Ұ', 0.886)","('К', 0.88)","('З', 0.852)","('Ю', 0.849)","('Ы', 0.832)","('Х', 0.828)","('А', 0.794)","('Щ', 0.789)","('О', 0.786)","('Н', 0.779)","('Ч', 0.779)","('Ц', 0.778)","('Ж', 0.775)","('Л', 0.769)","('Ң', 0.756)","('Ө', 0.747)","('Ф', 0.746)","('П', 0.741)","('Й', 0.738)","('Д', 0.728)","('М', 0.726)","('В', 0.72)","('Ш', 0.713)","('Ә', 0.706)","('Я', 0.695)","('И', 0.687)","('Э', 0.588)"
"('І', 1.0)","('Е', 0.994)","('К', 0.994)","('Ё', 0.993)","('Ж', 0.993)","('Б', 0.986)","('В', 0.983)","('У', 0.977)","('И', 0.976)","('С', 0.968)","('Ы', 0.964)","('Ш', 0.961)","('Ю', 0.947)","('Ғ', 0.935)","('Ф', 0.93)","('Ъ', 0.93)","('Қ', 0.928)","('Й', 0.926)","('Ә', 0.919)","('М', 0.913)","('А', 0.912)","('Һ', 0.912)","('Г', 0.897)","('Э', 0.892)","('Т', 0.881)","('Х', 0.87)","('Ү', 0.851)","('Р', 0.83)","('Ұ', 0.815)","('З', 0.801)","('Ь', 0.774)","('Ө', 0.771)","('П', 0.738)","('Д', 0.723)","('Щ', 0.716)","('Л', 0.706)","('О', 0.675)","('Н', 0.667)","('Я', 0.65)","('Ч', 0.648)","('Ц', 0.608)","('Ң', 0.468)"
"('П', 1.0)","('Я', 0.993)","('Х', 0.977)","('Ө', 0.975)","('Ч', 0.955)","('З', 0.953)","('Л', 0.948)","('Ё', 0.945)","('Б', 0.94)","('К', 0.94)","('Д', 0.925)","('О', 0.922)","('Н', 0.919)","('Ц', 0.912)","('Щ', 0.902)","('Һ', 0.9)","('Ъ', 0.894)","('І', 0.893)","('Қ', 0.892)","('М', 0.872)","('Ю', 0.868)","('Е', 0.865)","('Г', 0.864)","('Ф', 0.86)","('Ғ', 0.858)","('Й', 0.858)","('Ң', 0.85)","('Ы', 0.843)","('А', 0.837)","('В', 0.832)","('Ж', 0.828)","('С', 0.826)","('И', 0.82)","('Ә', 0.818)","('Э', 0.783)","('Ұ', 0.778)","('Ш', 0.774)","('Р', 0.754)","('Ь', 0.75)","('У', 0.705)","('Ү', 0.628)","('Т', 0.516)"
"('Т', 1.0)","('Ұ', 0.966)","('Ү', 0.942)","('Ң', 0.914)","('Қ', 0.896)","('Ч', 0.879)","('Ц', 0.831)","('Щ', 0.806)","('Р', 0.796)","('У', 0.796)","('Н', 0.783)","('О', 0.781)","('З', 0.766)","('С', 0.766)","('Х', 0.763)","('Е', 0.749)","('Я', 0.737)","('І', 0.724)","('П', 0.722)","('Л', 0.721)","('Ө', 0.705)","('Ғ', 0.703)","('Г', 0.7)","('Ё', 0.697)","('Д', 0.683)","('Ъ', 0.681)","('Б', 0.677)","('К', 0.672)","('Һ', 0.658)","('А', 0.638)","('М', 0.632)","('Ф', 0.626)","('Й', 0.616)","('В', 0.606)","('Ю', 0.606)","('Ж', 0.603)","('Э', 0.602)","('Ы', 0.601)","('Ә', 0.6)","('И', 0.586)","('Ш', 0.57)","('Ь', 0.55)"
"('Ү', 1.0)","('Г', 0.994)","('Ұ', 0.986)","('Қ', 0.98)","('Е', 0.965)","('Т', 0.959)","('Ғ', 0.957)","('Ё', 0.934)","('К', 0.93)","('С', 0.928)","('Б', 0.925)","('У', 0.923)","('Щ', 0.923)","('Р', 0.91)","('Һ', 0.892)","('І', 0.877)","('Ң', 0.871)","('Н', 0.861)","('Х', 0.86)","('Ю', 0.856)","('Ъ', 0.855)","('О', 0.853)","('П', 0.851)","('Ц', 0.841)","('Я', 0.84)","('Ө', 0.834)","('Ч', 0.805)","('М', 0.796)","('Ы', 0.788)","('В', 0.785)","('Ь', 0.781)","('Ф', 0.777)","('Й', 0.761)","('Ж', 0.75)","('И', 0.742)","('Д', 0.736)","('Л', 0.731)","('Ш', 0.708)","('З', 0.702)","('Ә', 0.695)","('А', 0.685)","('Э', 0.649)"
"('С', 1.0)","('Ү', 0.968)","('Ұ', 0.966)","('Т', 0.964)","('Е', 0.94)","('Л', 0.934)","('З', 0.924)","('Ц', 0.921)","('Ч', 0.921)","('Р', 0.9)","('О', 0.898)","('Қ', 0.89)","('У', 0.89)","('Н', 0.886)","('Ң', 0.884)","('А', 0.88)","('Ё', 0.875)","('Щ', 0.866)","('Х', 0.865)","('Д', 0.864)","('Г', 0.84)","('Ъ', 0.839)","('П', 0.826)","('І', 0.826)","('Ө', 0.825)","('Һ', 0.82)","('Б', 0.813)","('Я', 0.813)","('Ғ', 0.812)","('К', 0.802)","('Ә', 0.779)","('Ф', 0.77)","('Й', 0.766)","('Э', 0.765)","('Ж', 0.764)","('М', 0.759)","('Ы', 0.759)","('Ю', 0.737)","('В', 0.725)","('Ш', 0.718)","('И', 0.715)","('Ь', 0.703)"
"('Е', 1.0)","('С', 0.982)","('Ғ', 0.974)","('І', 0.96)","('Р', 0.958)","('Ұ', 0.952)","('Г', 0.931)","('Ё', 0.911)","('Щ', 0.91)","('Қ', 0.893)","('Ң', 0.874)","('Н', 0.869)","('О', 0.863)","('Ц', 0.844)","('У', 0.829)","('П', 0.803)","('Ү', 0.794)","('Т', 0.792)","('Я', 0.79)","('К', 0.787)","('Б', 0.785)","('Ө', 0.782)","('Х', 0.77)","('Ч', 0.766)","('Һ', 0.736)","('Ю', 0.716)","('Ъ', 0.712)","('Л', 0.704)","('Д', 0.701)","('М', 0.696)","('Ф', 0.684)","('Ы', 0.681)","('Й', 0.68)","('З', 0.675)","('В', 0.662)","('Ж', 0.656)","('И', 0.644)","('А', 0.629)","('Ә', 0.629)","('Ш', 0.604)","('Ь', 0.599)","('Э', 0.58)"
"('Д', 1.0)","('Л', 0.94)","('А', 0.821)","('Ә', 0.702)","('Э', 0.674)","('З', 0.647)","('Ц', 0.647)","('О', 0.636)","('Н', 0.623)","('Ө', 0.605)","('П', 0.594)","('Я', 0.592)","('Ч', 0.58)","('Й', 0.568)","('Ң', 0.564)","('Ф', 0.555)","('Щ', 0.555)","('Ж', 0.541)","('М', 0.537)","('Х', 0.516)","('Ш', 0.515)","('И', 0.504)","('Ұ', 0.495)","('В', 0.491)","('Ы', 0.491)","('Р', 0.483)","('Ү', 0.472)","('К', 0.461)","('Б', 0.46)","('Ё', 0.457)","('Т', 0.454)","('Ю', 0.448)","('Е', 0.447)","('Қ', 0.446)","('Ъ', 0.439)","('С', 0.432)","('Һ', 0.432)","('І', 0.431)","('У', 0.407)","('Ғ', 0.396)","('Г', 0.386)","('Ь', 0.374)"
"('И', 1.0)","('І', 1.0)","('К', 0.995)","('М', 0.994)","('Я', 0.971)","('П', 0.968)","('Б', 0.966)","('Щ', 0.959)","('Ы', 0.956)","('Ф', 0.954)","('Ө', 0.953)","('В', 0.941)","('Й', 0.94)","('Ж', 0.915)","('Ю', 0.914)","('Н', 0.912)","('Ш', 0.912)","('Ғ', 0.903)","('О', 0.898)","('Ң', 0.897)","('Қ', 0.893)","('Һ', 0.892)","('Ё', 0.89)","('Х', 0.89)","('Ь', 0.889)","('Ұ', 0.877)","('Р', 0.872)","('Ц', 0.872)","('У', 0.859)","('Ъ', 0.855)","('Е', 0.851)","('Г', 0.841)","('Ү', 0.841)","('Ә', 0.831)","('Ч', 0.828)","('Д', 0.825)","('Т', 0.816)","('С', 0.803)","('Л', 0.788)","('Э', 0.765)","('А', 0.758)","('З', 0.722)"
